커피_매출액,커피_한잔_가격,일일_유동인구,프로모션_할인율,SNS_언급량,영업시간,경쟁점포_거리_km,원두_품질점수,휴일까지_남은일수,평균기온,매장_분위기평점,멤버십가입여부,모바일주문여부,상권유형
3510.29,4.67,225.0,0.16,,10.36,0.03,83.5,28.0,20.6,5.0,회원,미지원,Business
5476.78,3.86,193.0,0.011,19.0,13.91,6.92,77.8,51.9,14.9,3.2,비회원,지원,Business
3191.15,4.43,232.0,0.035,,14.39,1.22,73.2,5.6,10.5,4.0,회원,미지원,Business
4696.37,4.07,276.0,0.211,18.0,9.62,0.05,82.5,39.2,17.7,3.2,회원,미지원,Tourist
4695.23,4.26,188.0,0.187,,10.44,1.34,82.1,20.0,24.1,2.9,회원,지원,Business
1016.65,5.62,188.0,0.026,19.0,11.96,0.86,75.3,23.2,16.4,,회원,미지원,Business
4040.04,4.57,279.0,0.1,,9.49,0.04,87.7,34.3,22.1,3.6,비회원,지원,Residential
6065.98,3.97,238.0,0.034,24.0,15.43,3.87,78.4,28.8,17.8,4.8,비회원,지원,Business
2769.56,5.32,177.0,0.118,,12.73,0.02,78.1,22.9,7.1,4.1,비회원,지원,Business
947.36,5.07,227.0,0.047,,8.97,1.29,65.4,18.5,7.7,3.3,회원,미지원,Residential
1840.72,5.1,177.0,0.054,,9.47,4.9,61.5,37.1,28.9,3.3,비회원,지원,Business
6351.17,3.3,177.0,0.17,22.0,15.63,0.41,75.5,30.3,9.8,4.2,비회원,지원,Residential
3238.5,5.67,212.0,0.095,,13.91,0.44,83.0,19.4,13.5,3.2,회원,지원,Business
3344.49,4.16,104.0,0.066,21.0,13.88,0.0,77.6,12.3,24.4,3.2,회원,지원,Business
2150.07,4.97,114.0,0.134,19.0,8.58,0.1,82.6,46.5,9.7,2.8,회원,지원,Residential
1911.05,6.01,172.0,0.075,,15.16,0.07,71.7,48.0,13.2,4.2,비회원,지원,Business
1769.21,5.79,149.0,0.08,18.0,11.55,2.59,75.7,12.8,16.5,3.3,회원,지원,Business
4763.3,3.91,216.0,0.067,,13.28,2.72,75.1,15.7,15.6,4.0,회원,지원,Residential
4097.44,3.63,155.0,0.076,21.0,15.68,1.95,60.6,14.3,11.2,3.0,회원,지원,Business
889.18,5.36,129.0,0.041,17.0,8.8,0.65,89.3,53.1,16.6,2.8,비회원,미지원,Business
5218.94,4.59,273.0,0.098,25.0,11.86,2.58,84.6,46.4,22.8,4.2,회원,미지원,Business
3433.21,4.2,189.0,0.086,,8.4,1.16,82.4,4.5,17.1,3.7,비회원,지원,Residential
4391.73,4.87,203.0,0.124,24.0,12.0,0.54,85.3,50.0,13.4,3.4,비회원,지원,Business
1344.36,4.4,129.0,0.03,,10.02,0.86,71.3,2.2,24.6,3.5,회원,미지원,Residential
3536.62,4.92,173.0,0.067,,15.29,0.1,81.4,15.2,29.9,3.5,비회원,지원,Business
3386.26,4.54,206.0,0.08,,11.19,4.35,71.2,55.1,24.7,5.0,비회원,미지원,Business
3222.42,4.93,142.0,0.096,,13.07,1.45,76.2,51.9,10.1,4.0,비회원,지원,Residential
5567.04,3.96,219.0,0.162,26.0,14.88,1.97,61.1,46.9,10.3,,회원,지원,Business
2570.77,5.35,170.0,0.051,,15.87,1.69,73.8,27.5,21.1,3.3,비회원,미지원,Business
1616.08,4.92,185.0,0.025,23.0,12.03,1.65,62.8,19.3,19.2,4.3,회원,미지원,Residential
1625.75,4.89,170.0,0.042,20.0,11.65,0.03,65.0,52.9,9.4,3.1,회원,지원,Tourist
5290.69,3.83,293.0,0.09,31.0,8.61,1.12,74.6,39.4,20.0,4.1,회원,지원,Business
648.51,5.52,199.0,0.018,22.0,8.1,2.59,69.3,17.7,18.7,4.1,비회원,미지원,Business
2481.47,4.49,147.0,0.053,18.0,12.87,0.07,77.7,27.8,28.3,4.4,회원,지원,Business
4444.74,4.94,241.0,0.136,,8.52,4.69,88.4,52.9,15.0,2.6,비회원,미지원,Residential
2090.85,4.31,139.0,0.038,20.0,11.04,0.83,70.0,54.2,27.7,4.5,비회원,지원,Residential
6621.9,4.66,986.0,0.035,,8.03,0.51,72.9,39.6,28.0,4.0,회원,지원,Residential
2853.51,4.68,102.0,0.056,,12.92,1.14,80.3,44.0,13.3,3.3,회원,지원,Business
3950.92,2.81,134.0,0.08,,11.4,2.42,69.6,2.4,20.5,2.5,비회원,미지원,Business
3234.71,4.85,210.0,0.184,23.0,9.02,0.97,69.3,36.3,16.5,3.6,회원,지원,Business
1558.36,5.68,237.0,0.052,,10.37,1.55,71.4,41.3,16.2,3.9,회원,지원,Business
3553.09,4.82,209.0,0.059,,12.56,1.04,82.0,1.2,19.7,2.9,회원,지원,Residential
3310.47,3.93,194.0,0.129,,13.25,1.5,60.9,50.6,12.5,3.3,비회원,미지원,Business
1599.3,4.89,185.0,0.059,,11.7,0.22,68.2,55.7,6.8,3.0,회원,미지원,Residential
3013.41,5.14,126.0,0.037,23.0,14.43,0.06,87.2,14.3,14.3,3.5,비회원,미지원,Residential
0.0,4.81,164.0,0.039,15.0,8.9,0.22,50.2,50.7,26.3,3.1,회원,미지원,Business
2671.54,4.46,177.0,0.083,23.0,8.68,0.5,74.0,39.9,16.6,5.0,비회원,지원,Residential
2973.9,4.35,253.0,0.074,,8.35,0.44,87.2,34.8,17.8,4.3,회원,미지원,Business
4429.09,4.35,217.0,0.04,,12.29,1.43,90.3,50.6,23.5,3.1,회원,지원,Business
2755.32,4.92,112.0,0.046,,13.65,0.91,81.4,17.1,6.8,3.2,회원,지원,Business
3666.2,3.66,216.0,0.025,22.0,9.04,0.06,84.4,47.5,21.1,2.9,회원,지원,Business
3465.52,4.28,181.0,0.185,,13.11,0.05,67.4,18.9,29.7,3.7,비회원,미지원,Business
472.86,5.46,166.0,0.028,,11.82,0.14,68.1,47.2,18.6,4.9,비회원,미지원,Residential
4470.17,5.48,231.0,0.083,,15.9,0.65,88.7,27.1,4.5,4.5,회원,지원,Residential
4112.7,3.61,252.0,0.094,,13.74,0.01,72.9,7.0,17.5,3.9,회원,미지원,Business
3042.58,3.82,247.0,0.058,,13.26,1.02,60.0,22.9,22.3,3.6,비회원,미지원,Residential
1792.77,4.34,158.0,0.035,13.0,12.56,0.67,78.3,14.0,18.8,4.1,비회원,미지원,Residential
2936.89,5.04,185.0,0.083,14.0,15.98,1.22,73.5,6.0,19.9,4.0,회원,지원,Residential
4789.76,3.4,217.0,0.025,,15.84,1.91,75.6,6.6,20.7,4.1,회원,미지원,Business
1278.37,4.47,249.0,0.029,,12.3,0.43,55.9,46.8,11.5,3.9,비회원,미지원,Business
1521.6,4.22,176.0,0.101,,11.64,0.26,53.8,52.9,12.3,4.1,비회원,미지원,Residential
1185.62,5.3,191.0,0.044,13.0,11.7,0.49,77.4,55.6,15.4,2.9,회원,지원,Residential
2377.44,3.49,145.0,0.011,18.0,11.43,0.0,72.6,51.2,20.7,,회원,지원,Business
2366.5,4.56,140.0,0.13,15.0,12.25,0.19,71.3,49.8,9.7,3.9,회원,지원,Residential
4361.64,4.26,241.0,0.126,,10.19,2.08,78.1,4.1,32.4,3.5,회원,지원,Business
3512.25,5.38,268.0,0.062,24.0,15.41,0.38,68.8,47.4,1.0,3.1,회원,지원,Residential
3755.52,4.86,196.0,0.031,19.0,11.92,7.75,72.9,47.0,6.1,3.8,회원,미지원,Business
3778.89,4.15,250.0,0.094,19.0,14.74,0.28,71.4,7.9,21.9,5.0,회원,미지원,Residential
3488.35,5.01,218.0,0.078,,11.8,2.33,82.1,39.7,21.3,3.3,회원,미지원,Residential
2732.91,4.27,168.0,0.096,18.0,13.75,1.83,60.0,27.2,17.5,3.7,회원,지원,Business
2127.09,5.1,218.0,0.11,19.0,10.7,0.58,69.8,54.0,22.7,4.6,비회원,지원,Business
4475.53,4.36,277.0,0.045,,13.0,0.6,83.7,41.7,22.0,,비회원,지원,Residential
2494.63,5.13,198.0,0.091,,11.99,1.24,68.3,57.1,18.0,3.5,회원,지원,Residential
3549.48,4.76,278.0,0.017,21.0,10.94,2.87,76.0,6.3,19.9,4.4,비회원,지원,Residential
2566.04,6.46,69.0,0.07,23.0,15.05,0.73,88.4,2.4,-4.0,4.3,비회원,지원,Residential
2837.12,4.47,241.0,0.106,22.0,8.9,0.09,76.3,58.4,17.1,3.5,회원,미지원,Residential
4430.62,4.73,204.0,0.105,,11.9,0.7,92.1,4.8,17.7,4.2,회원,지원,Business
2437.77,4.21,185.0,0.077,12.0,9.55,0.35,86.2,23.2,31.4,3.7,비회원,지원,Residential
3965.89,4.5,205.0,0.055,,14.89,4.2,69.8,39.0,12.2,,비회원,미지원,Business
6260.52,2.88,809.0,0.059,13.0,10.03,1.79,64.9,52.8,17.7,4.8,비회원,미지원,Business
2434.62,4.78,189.0,0.044,,13.07,0.08,70.2,15.3,28.0,4.2,비회원,지원,Residential
1496.38,5.31,218.0,0.033,,9.32,0.52,78.0,1.7,21.9,2.8,회원,미지원,Tourist
3004.04,4.74,274.0,0.099,,11.24,0.08,77.8,31.3,18.2,3.7,회원,미지원,Business
4006.24,3.71,174.0,0.021,16.0,15.19,2.66,80.3,28.3,24.7,,회원,미지원,Business
2559.14,4.02,160.0,0.009,,9.33,3.55,67.6,18.4,12.5,,비회원,지원,Residential
